ix,iy,x_center,y_center,n_frames,detection_rate,tracked_rate,mpjpe_mean_mm
0,0,-1.750,-1.750,4,1.0000,1.0000,46.59
1,0,-1.250,-1.750,18,1.0000,1.0000,46.37
2,0,-0.750,-1.750,18,1.0000,1.0000,48.54
3,0,-0.250,-1.750,19,1.0000,1.0000,47.38
4,0,0.250,-1.750,14,1.0000,1.0000,45.74
5,0,0.750,-1.750,17,1.0000,1.0000,43.70
6,0,1.250,-1.750,21,1.0000,1.0000,44.37
7,0,1.750,-1.750,7,1.0000,1.0000,48.57
0,1,-1.750,-1.250,11,1.0000,1.0000,48.84
1,1,-1.250,-1.250,31,1.0000,1.0000,44.10
2,1,-0.750,-1.250,26,1.0000,1.0000,43.31
3,1,-0.250,-1.250,23,1.0000,1.0000,44.49
4,1,0.250,-1.250,21,1.0000,1.0000,44.70
5,1,0.750,-1.250,19,1.0000,1.0000,47.66
6,1,1.250,-1.250,17,1.0000,1.0000,53.72
7,1,1.750,-1.250,17,1.0000,1.0000,56.85
0,2,-1.750,-0.750,24,1.0000,1.0000,48.36
1,2,-1.250,-0.750,29,1.0000,1.0000,44.80
2,2,-0.750,-0.750,24,1.0000,1.0000,44.78
3,2,-0.250,-0.750,29,1.0000,1.0000,45.01
4,2,0.250,-0.750,31,1.0000,1.0000,46.74
5,2,0.750,-0.750,26,1.0000,1.0000,48.93
6,2,1.250,-0.750,24,1.0000,1.0000,52.94
7,2,1.750,-0.750,15,1.0000,1.0000,54.70
0,3,-1.750,-0.250,11,1.0000,1.0000,52.52
1,3,-1.250,-0.250,19,1.0000,1.0000,51.02
2,3,-0.750,-0.250,20,1.0000,1.0000,48.21
3,3,-0.250,-0.250,18,1.0000,1.0000,46.79
4,3,0.250,-0.250,25,1.0000,1.0000,51.18
5,3,0.750,-0.250,28,1.0000,1.0000,51.18
6,3,1.250,-0.250,29,1.0000,1.0000,48.81
7,3,1.750,-0.250,17,1.0000,1.0000,52.13
0,4,-1.750,0.250,15,1.0000,1.0000,54.74
1,4,-1.250,0.250,17,1.0000,1.0000,54.67
2,4,-0.750,0.250,19,1.0000,1.0000,50.47
3,4,-0.250,0.250,21,1.0000,1.0000,50.42
4,4,0.250,0.250,17,1.0000,1.0000,44.79
5,4,0.750,0.250,18,1.0000,1.0000,49.98
6,4,1.250,0.250,20,1.0000,1.0000,56.47
7,4,1.750,0.250,13,1.0000,1.0000,48.55
0,5,-1.750,0.750,17,1.0000,1.0000,50.95
1,5,-1.250,0.750,17,1.0000,1.0000,57.68
2,5,-0.750,0.750,18,1.0000,1.0000,53.40
3,5,-0.250,0.750,21,1.0000,1.0000,56.65
4,5,0.250,0.750,19,1.0000,1.0000,49.23
5,5,0.750,0.750,15,1.0000,1.0000,47.46
6,5,1.250,0.750,19,1.0000,1.0000,51.76
7,5,1.750,0.750,12,1.0000,1.0000,52.03
0,6,-1.750,1.250,7,1.0000,1.0000,51.81
1,6,-1.250,1.250,20,1.0000,1.0000,51.91
2,6,-0.750,1.250,20,1.0000,1.0000,48.96
3,6,-0.250,1.250,16,1.0000,1.0000,46.35
4,6,0.250,1.250,18,1.0000,1.0000,46.57
5,6,0.750,1.250,20,1.0000,1.0000,50.10
6,6,1.250,1.250,19,1.0000,1.0000,51.83
7,6,1.750,1.250,14,1.0000,1.0000,48.61
0,7,-1.750,1.750,3,1.0000,1.0000,45.04
1,7,-1.250,1.750,21,1.0000,1.0000,49.87
2,7,-0.750,1.750,19,1.0000,1.0000,46.60
3,7,-0.250,1.750,17,1.0000,1.0000,48.14
4,7,0.250,1.750,20,1.0000,1.0000,48.15
5,7,0.750,1.750,19,1.0000,1.0000,46.16
6,7,1.250,1.750,17,1.0000,1.0000,47.96
7,7,1.750,1.750,9,1.0000,1.0000,48.86
