rank,h_m,r_m,rel_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,tilt_deg,n_subjects
1,3.0,4.0,180.0,0.7613356468545075,True,ok,True,0.7702577463804766,0.9773071602468117,0.6024844720496895,61.35360565151422,71.55819776552885,35.82765912588719,0.0,830.1150723283879,0.8666666666666667,106.26020470831197,26.56505117707799,1
2,3.0,3.5,180.0,0.7564413583302947,True,ok,True,0.7601248100213228,0.9735096734304649,0.6055900621118012,63.177534196161915,75.16581024105841,38.64464420281585,0.0,816.4498123638215,1.0,98.79741070999107,29.74488129694222,1
3,3.5,4.0,180.0,0.7544497273639641,True,ok,False,0.7637061860073822,0.9732316190063337,0.5931677018633541,62.53288651867122,75.42996194398305,41.64087115437972,0.0,871.5217628124161,1.0,97.62814966858072,32.005383208083494,1
4,2.5,2.5,180.0,0.7492314370997215,True,ok,True,0.7454911385039377,0.969385860977894,0.6086956521739131,65.81159506929123,79.08343207100059,42.33016413981628,0.0,804.9247018922882,1.0,90.0,30.96375653207352,1
5,3.5,3.5,180.0,0.7473686819111979,True,ok,False,0.7548081047395326,0.969388365098462,0.5869565217391305,64.13454114688412,79.08105315646104,46.614690920575775,0.0,893.7360770183794,1.0,90.0,35.53767779197438,1
6,2.0,3.0,60.0,0.7467528981976128,True,ok,False,0.7554495083638499,0.9600475523765761,0.5900621118012422,64.01908849450699,87.95482524225267,57.12325125689489,0.0,885.1252038380937,1.0,49.16778297253094,18.43494882292201,1
7,3.0,4.5,180.0,0.7458710003904602,True,ok,False,0.7511549502286445,0.9756912288651615,0.5838509316770186,64.79210895884397,73.09333257809654,32.620979328795016,0.0,894.5140932182982,0.6666666666666666,112.61986494804043,23.962488974578182,1
8,2.5,3.0,180.0,0.7454850373055755,True,ok,False,0.7452425814304002,0.9699087950636782,0.5962732919254659,65.85633534252796,78.58664468950569,40.318210484241504,0.0,857.1257112793842,0.8,100.38885781546962,26.56505117707799,1
9,2.5,2.0,180.0,0.743683059844979,True,ok,False,0.7406004396463853,0.9678458771275652,0.5993788819875776,66.69192086365065,80.54641672881306,45.473648935208054,0.0,846.8125783865512,1.0,77.31961650818018,36.86989764584402,1
10,4.0,4.0,180.0,0.7407560157027716,True,ok,False,0.7487637122162896,0.9654111706439417,0.577639751552795,65.22253180106787,82.85938788825544,51.212838442732654,0.0,900.8489699175021,1.0,90.0,36.86989764584402,1
11,4.0,4.5,180.0,0.740372837544782,True,ok,False,0.7552310563325866,0.9706188450290898,0.562111801242236,64.05840986013442,77.91209722236465,44.91947115517602,0.0,945.2982880329017,1.0,96.73292132685961,33.690067525979785,1
12,3.5,5.0,180.0,0.7392400646887339,True,ok,False,0.7485198049609268,0.972416338991663,0.5683229813664596,65.26643510703317,76.20447795792016,38.68799428173829,0.0,939.8144042049088,1.0,110.01595960288267,26.56505117707799,1
13,3.0,2.5,180.0,0.7387627616733767,True,ok,False,0.742289727231081,0.9669714778668209,0.5807453416149069,66.3878490984054,81.37709602652008,48.0124119004192,0.0,900.1742679627481,1.0,79.61114218453038,38.659808254090095,1
14,3.5,4.5,180.0,0.7382992882359884,True,ok,False,0.7523016892208012,0.9722329013577531,0.5590062111801243,64.58569594025577,76.37874371013463,39.693128317210615,0.0,945.7018781377686,1.0,104.2500326978036,29.054604099077146,1
15,3.5,3.0,180.0,0.7378690341451853,True,ok,False,0.7460030986918207,0.9671945668535181,0.5714285714285714,65.71944223547227,81.16516148915774,48.991310161670384,0.0,934.4394025805436,1.0,81.20258929000894,39.8055710922652,1
16,4.0,4.5,150.0,0.7312670892479376,True,ok,False,0.7605944062944177,0.9675823497583023,0.5248447204968945,63.09300686700481,80.79676772961287,52.58200480289482,0.0,1061.0987124519945,1.0,92.43009235908585,33.690067525979785,1
17,2.0,2.5,60.0,0.7301114109422788,True,ok,False,0.7460179299117378,0.9563196833481991,0.5527950310559007,65.71677261588721,91.4963008192109,60.89174470301757,0.0,963.9920896561036,1.0,45.96306405806085,21.80140948635181,1
18,4.0,5.0,180.0,0.7300207879086625,True,ok,False,0.7522648939410301,0.9728578537590604,0.5310559006211181,64.59231909061457,75.7850389288926,40.83532298893728,0.0,1049.1283544115513,1.0,102.68038349181982,30.96375653207352,1
