rank,h_m,r_m,rel_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,tilt_deg,n_subjects
1,3.5,4.5,180.0,0.9000231979730943,True,ok,True,0.8411158460132758,0.9659239358078919,0.9542682926829268,48.59914771761034,82.37226098250272,67.95353585743801,0.0,1654.592939694019,1.0,104.2500326978036,29.054604099077146,1
2,3.5,4.0,180.0,0.8995255095662735,True,ok,True,0.8362468231732205,0.9687482947763653,0.958841463414634,49.47557182882031,79.68911996245302,64.92973666564586,0.0,1484.4972814548987,1.0,97.62814966858072,32.005383208083494,1
3,3.0,4.0,180.0,0.8988557802329334,True,ok,True,0.8385975391839499,0.9640960288145485,0.9557926829268293,49.052442946889016,84.10877262617899,68.73493709128566,0.0,1638.3234327213324,0.8666666666666667,106.26020470831197,26.56505117707799,1
4,3.0,3.5,180.0,0.8958290079359057,True,ok,False,0.8402288069818569,0.960890095395618,0.9451219512195121,48.75881474326575,87.15440937416292,73.47741104483029,0.0,2013.89750531956,1.0,98.79741070999107,29.74488129694222,1
5,4.0,4.0,180.0,0.8915336676261233,True,ok,True,0.82019688332453,0.9666273493314868,0.9603658536585366,52.36456100158459,81.70401813508758,66.78377825612444,0.0,1327.5440850815144,1.0,90.0,36.86989764584402,1
6,3.5,4.5,150.0,0.890136688192395,True,ok,False,0.8303179221557682,0.9617788794749934,0.9420731707317073,50.542774011961754,86.31006449875625,70.94656203913597,0.0,2031.7492860065254,1.0,99.36233448138768,29.054604099077146,1
7,3.5,4.0,150.0,0.8883640931310546,True,ok,False,0.8271030292281785,0.9632397218531189,0.9405487804878049,51.12145473892786,84.92226423953706,69.3902971220001,0.0,2124.5362791756975,1.0,93.2598224733095,32.005383208083494,1
8,3.0,4.5,150.0,0.8878091673470629,True,ok,False,0.8293766374744911,0.9570676576832339,0.9390243902439024,50.7122052545916,90.7857252009278,75.11237022111736,0.0,2194.9511573886125,1.0,106.9695684757849,23.962488974578182,1
9,3.0,4.5,180.0,0.8862018854081056,True,ok,False,0.8325957592440222,0.9615627118573019,0.9253048780487805,50.13276333607602,86.51542373556326,70.73901137782516,1.0,1849.1424606477979,0.6666666666666666,112.61986494804043,23.962488974578182,1
10,3.0,4.0,150.0,0.8850695370257677,True,ok,False,0.8310024192909443,0.9530245637307463,0.9298780487804877,50.41956452763004,94.62666445579099,80.54818631414601,0.0,2463.098534440652,1.0,101.20127956205536,26.56505117707799,1
11,4.0,4.5,180.0,0.8841916421878111,True,ok,False,0.8294271695288463,0.961719555409623,0.9237804878048781,50.703109484807655,86.36642236085818,72.60244272601082,1.0,1999.8112183098208,1.0,96.73292132685961,33.690067525979785,1
12,3.5,5.0,180.0,0.8830502146432495,True,ok,False,0.8312482249836762,0.9651792912448616,0.9146341463414633,50.3753195029383,83.07967331738155,66.64879503272512,2.0,1709.1516590964497,1.0,110.01595960288267,26.56505117707799,1
13,4.5,5.0,180.0,0.8806642401697404,True,ok,False,0.8139896744312812,0.9666701855022061,0.9344512195121951,53.48185860236938,81.66332377290432,65.41884948802031,1.0,1596.1369052212244,1.0,96.02557500836669,34.99202019855866,1
14,2.5,3.5,150.0,0.8796792860913885,True,ok,False,0.8215788623094668,0.9519187868783974,0.9283536585365854,52.11580478429599,95.67715246552245,80.5278893167381,0.0,2507.952461835466,0.9333333333333333,103.6276663859337,23.198590513648185,1
15,3.0,3.5,150.0,0.8758937121190951,True,ok,False,0.8292596504577977,0.9549474832314692,0.9009146341463414,50.73326291759642,92.79989093010433,78.98274076088633,1.0,2649.266748708169,1.0,94.34194717549441,29.74488129694222,1
16,4.0,4.0,150.0,0.8744077136067996,True,ok,False,0.8053519946927131,0.9615549227656297,0.9314024390243902,55.03664095531164,86.52282337265183,69.88849954168569,0.0,2419.478311760579,1.0,86.15903428374187,36.86989764584402,1
17,3.5,3.5,150.0,0.8726641408090452,True,ok,False,0.8133082056375842,0.962672141170777,0.9115853658536586,53.60452298523485,85.4614658877618,69.71680755638113,1.0,2332.2549097448923,1.0,86.15903428374187,35.53767779197438,1
18,3.0,3.0,150.0,0.8716217827173094,True,ok,False,0.810057761635139,0.9587267046206507,0.9161585365853658,54.18960290567497,89.20963061038184,73.57368363390157,0.0,3031.476312007861,1.0,86.15903428374187,33.690067525979785,1
19,2.5,4.0,150.0,0.8713922030397203,True,ok,False,0.811023974189288,0.9483035187497717,0.9207317073170731,54.015684645928175,99.11165718771692,83.27013560056878,0.0,2736.774357335873,0.8666666666666667,109.99029470647366,20.556045219583467,1
20,4.5,4.5,150.0,0.8657866297279553,True,ok,False,0.7943515838789867,0.9596700426008465,0.9222560975609756,57.016714901782386,88.31345952919588,71.07218984355421,0.0,2684.412152747308,1.0,86.15903428374187,37.874983651098205,1
21,2.5,4.5,150.0,0.8629016251979165,True,ok,False,0.7982673597949246,0.9423153362583686,0.9176829268292682,56.31187523691358,104.80043055454986,88.18281977669922,0.0,2967.4765025884494,0.8,115.20923155492801,18.43494882292201,1
22,2.5,3.0,180.0,0.8623600683618453,True,ok,False,0.8194042091246765,0.9599361604609501,0.8689024390243902,52.50724235755823,88.06064756209742,72.45553294916328,4.0,2510.2259343014202,0.8,100.38885781546962,26.56505117707799,1
23,3.5,3.5,180.0,0.8601976621664453,True,ok,False,0.8220412845241117,0.9653972946438988,0.8536585365853658,52.03256878565989,82.87257008829613,67.9541899994923,7.0,1770.504621232585,1.0,90.0,35.53767779197438,1
24,2.5,5.0,60.0,0.8589088974141511,True,ok,False,0.7878790376186665,0.9551822588777479,0.913109756097561,58.18177322864002,92.57685406613955,70.80969893771334,1.0,2308.3314778598956,1.0,53.13010235415599,16.69924423399362,1
25,3.5,5.0,150.0,0.8582096092057616,True,ok,False,0.8241462637541996,0.9570543378628208,0.8490853658536586,51.653672524244065,90.79837903032028,74.28254847432238,1.0,4576.51540990964,1.0,104.61756669568551,26.56505117707799,1
26,2.5,4.5,90.0,0.8571148149670281,True,ok,False,0.7883266952707569,0.9450927025119069,0.913109756097561,58.101194851263756,102.16193261368846,84.99869702485356,0.0,3166.775232967201,1.0,76.3583229709878,18.43494882292201,1
