rank,h_m,r_m,rel_az_deg,cam_c_h_m,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tilt_deg,n_subjects
1,3.5,4.5,180.0,5.0,0.8928397986417247,True,ok,True,0.8202270848044297,0.9672027097689769,0.9642857142857144,52.35912473520264,81.15742571947193,64.69487599372368,4.0,3028.2364251468384,1.0,69.50002179853574,104.2500326978036,52.1250163489018,52.1250163489018,29.054604099077146,1
2,3.5,4.5,180.0,6.5,0.8829440792423013,True,ok,True,0.8023051303914308,0.9562264777959543,0.9684873949579833,55.585076529542455,91.58484609384342,75.52303546760724,4.0,2770.236757731342,1.0,69.50002179853574,104.2500326978036,52.1250163489018,52.1250163489018,29.054604099077146,1
3,3.0,3.5,180.0,6.0,0.8778519445529115,True,ok,False,0.8004104187662668,0.9670151884539323,0.9474789915966386,55.92612462207197,81.33557096876432,59.26132868214935,5.0,2526.0779347192147,1.0,65.86494047332738,98.79741070999107,49.398705354995535,49.398705354995535,29.74488129694222,1
4,3.5,4.5,150.0,6.5,0.8700294207323533,True,ok,True,0.8220030955035765,0.9527023901129092,0.8949579831932772,52.0394428093562,94.93272939273615,80.47599478318197,6.0,2767.972979041887,1.0,67.87078905973043,99.36233448138768,52.1250163489018,52.1250163489018,29.054604099077146,1
5,4.0,4.5,180.0,5.5,0.8636960174138537,True,ok,False,0.7977536717882688,0.9596001092792689,0.9096638655462184,56.40433907811162,88.37989618469453,72.07950040683724,5.0,4464.654799516923,1.0,64.4886142179064,96.73292132685961,48.3664606634298,48.3664606634298,33.690067525979785,1
6,3.5,5.0,180.0,5.0,0.8615711708903887,True,ok,False,0.7848413825502651,0.9591977762275409,0.9243697478991597,58.72855114095226,88.76211258383613,69.03448173186034,4.0,4813.373740954117,1.0,73.34397306858845,110.01595960288267,55.00797980144134,55.00797980144134,26.56505117707799,1
7,3.0,3.5,150.0,6.0,0.8577580771357047,True,ok,True,0.8230811185398279,0.9611296061356761,0.846638655462185,51.84539866283099,86.92687417110767,68.26357860112557,7.0,2800.5822321373803,1.0,64.37978596182849,94.34194717549441,49.398705354995535,49.398705354995535,29.74488129694222,1
8,3.0,3.5,150.0,5.0,0.8572092468513139,True,ok,False,0.7864938531312254,0.9458620215965735,0.9159663865546218,58.43110643637944,101.43107948325515,83.83313408497588,5.0,4372.843412676825,1.0,64.37978596182849,94.34194717549441,49.39870535499553,49.39870535499553,29.74488129694222,1
9,3.5,4.5,150.0,5.0,0.8566042411151551,True,ok,False,0.8080628880531039,0.9519396156951168,0.8739495798319328,54.54868015044129,95.65736508963907,79.85503160152372,6.0,3947.1949612727785,1.0,67.87078905973043,99.36233448138768,52.1250163489018,52.1250163489018,29.054604099077146,1
10,3.5,4.0,150.0,4.5,0.8518076249886095,True,ok,False,0.794955998510077,0.954421237911552,0.8781512605042017,56.90792026818614,93.29982398402552,74.83123762924195,6.0,3504.5839092316774,1.0,63.629324047296734,93.2598224733095,48.81407483429036,48.81407483429036,32.005383208083494,1
11,3.0,3.5,180.0,7.0,0.8515358370318767,True,ok,False,0.7748816391599849,0.9465255074274886,0.9159663865546219,60.52130495120272,100.80076794388584,83.53551049230555,4.0,6618.192027770533,1.0,65.86494047332738,98.79741070999107,49.398705354995535,49.398705354995535,29.74488129694222,1
12,3.0,4.0,150.0,7.0,0.8510802231360932,True,ok,True,0.8381279274344179,0.9562997844893792,0.8025210084033614,49.136973061804795,91.51520473508965,76.75438934328147,8.0,2491.5483546668993,1.0,69.15382809012245,101.20127956205536,53.13010235415599,53.13010235415599,26.56505117707799,1
