rank,h_m,r_m,rel_az_deg,cam_c_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,longest_blind_gap_s,tilt_deg,n_subjects
1,3.0,4.0,180.0,270.0,0.9143406807474952,True,ok,True,0.8604741424838067,0.9777214373584683,0.961864406779661,45.11465435291478,71.16463450945517,56.335755387924344,0.0,892.8850048064338,1.0,81.35327088670864,106.26020470831197,68.89980397590699,68.89980397590698,1.0,0.0,26.56505117707799,1
2,3.0,4.5,150.0,45.0,0.9012633242190498,True,ok,True,0.8672113033181138,0.9654070068677607,0.9152542372881356,43.9019654027395,82.86334347562726,69.92678336411619,1.0,1194.910142431432,1.0,75.57329725667245,106.9695684757849,37.13381644241227,82.61650685182018,1.0,0.0,23.962488974578182,1
3,3.0,4.5,150.0,90.0,0.8887767200199583,True,ok,False,0.8399566612775428,0.9583987265669516,0.923728813559322,48.807800970042294,89.52120976139605,74.53871901198615,0.0,1981.2482414379201,1.0,76.07237943630786,106.9695684757849,72.07978686060771,49.167782972530965,1.0,0.0,23.962488974578182,1
4,2.5,3.5,150.0,225.0,0.8884147997107953,True,ok,True,0.8268823095666528,0.9829190720949718,0.9279661016949152,51.1611842780025,66.22688150977686,44.19213496348411,0.0,1966.0416397264528,1.0,86.83584981411967,103.6276663859337,97.49163928863284,59.38824376779248,1.0,0.0,23.198590513648185,1
5,3.5,4.5,180.0,255.0,0.872461359047936,True,ok,False,0.8163175480002006,0.9676993659171448,0.902542372881356,53.06284135996388,80.68560237871242,62.7514317426269,1.0,1752.2363124994965,1.0,79.74517464125076,104.2500326978036,77.54581346329766,57.43967776265101,1.0,0.0,29.054604099077146,1
6,3.0,4.0,150.0,60.0,0.8682888215844065,True,ok,False,0.815943147732335,0.9414167470657708,0.9067796610169492,53.130233408179684,105.65409028751777,89.8531958952512,0.0,2419.796463344979,1.0,72.41914683145534,101.20127956205536,47.15635695640366,68.89980397590699,1.0,0.0,26.56505117707799,1
7,3.5,4.5,180.0,285.0,0.8669049979038963,True,ok,False,0.7987280597741956,0.9648234841517891,0.9152542372881356,56.2289492406448,83.41769005580032,64.23525107999075,0.0,2311.9100174416603,1.0,79.74517464125076,104.2500326978036,57.43967776265101,77.54581346329765,0.9823008849557522,0.17846023184912546,29.054604099077146,1
8,3.5,4.5,150.0,45.0,0.8662809516047049,True,ok,False,0.8158006917060268,0.9571572660465933,0.8898305084745762,53.15587549291517,90.70059725573624,74.34131944369572,0.0,2520.6649083579064,1.0,70.69077984098136,99.36233448138768,35.16419157825874,77.54581346329768,0.967479674796748,0.1630003686811103,29.054604099077146,1
9,3.0,4.5,180.0,285.0,0.8619968885355346,True,ok,False,0.8098571113303464,0.9696636982501118,0.8771186440677966,54.225719960537646,78.81948666239384,57.941517286909644,0.0,2730.0054505461794,1.0,85.36699980932042,112.61986494804043,60.86462762810066,82.61650685182015,0.9824561403508771,0.17643960176315981,23.962488974578182,1
10,3.5,4.5,180.0,270.0,0.8600064367302953,True,ok,False,0.8079362532219178,0.9645135844949873,0.8771186440677966,54.57147442005481,83.7120947297622,65.05961883601037,1.0,2003.142692864837,1.0,79.98786376496916,104.2500326978036,67.85677929855196,67.85677929855194,1.0,0.0,29.054604099077146,1
11,3.0,3.5,180.0,270.0,0.8592350251217593,True,ok,False,0.8395854745067346,0.9768724562911122,0.8135593220338984,48.87461458878778,71.9711665234435,55.7847766163522,2.0,1843.5839547537819,1.0,76.22739329112834,98.79741070999107,64.94238458169698,64.94238458169698,1.0,0.0,29.74488129694222,1
12,3.0,4.5,150.0,60.0,0.8534550903016529,True,ok,False,0.8522966663952493,0.9670422600964127,0.7796610169491526,46.586600048855125,81.30985290840795,66.39160838698248,3.0,1621.5539809909512,1.0,76.07237943630786,106.9695684757849,49.16778297253096,72.07978686060773,1.0,0.0,23.962488974578182,1
13,4.0,4.5,180.0,270.0,0.8529345848878305,True,ok,False,0.7868157129726813,0.962887879295585,0.8898305084745762,58.37317166491737,85.2565146691943,63.9803799364606,1.0,1922.1221536803666,1.0,74.78302729394467,96.73292132685961,63.80808027748721,63.80808027748721,1.0,0.0,33.690067525979785,1
14,3.0,4.5,180.0,255.0,0.8461348472754673,True,ok,False,0.8341896059386815,0.969352763903514,0.7838983050847458,49.84587093103732,79.11487429166172,62.313408147626554,3.0,1328.317793048714,1.0,85.36699980932042,112.61986494804043,82.61650685182016,60.86462762810065,1.0,0.0,23.962488974578182,1
15,2.5,3.5,150.0,60.0,0.8453104514306892,True,ok,False,0.8485048920014517,0.9612222305396471,0.7627118644067796,47.26911943973869,86.83888098733534,73.94546833963064,2.0,2680.850375235927,1.0,73.96626236638934,103.6276663859337,48.01631881379589,70.25480189943846,1.0,0.0,23.198590513648185,1
16,2.5,3.5,150.0,75.0,0.8445008769599622,True,ok,False,0.7992677606724442,0.9404366780339557,0.8559322033898304,56.13180307896003,106.58515586774202,85.30354764427342,0.0,3108.4664229648265,1.0,74.13471797383957,103.6276663859337,59.38824376779251,59.38824376779251,1.0,0.0,23.198590513648185,1
