h_m,r_m,rel_az_deg,cam_c_az_deg,worst_coverage,mean_coverage,blind_wedge_deg,baseline_worst,baseline_mean,delta_worst
3.5,4.5,180.0,15.0,0.2916666666666667,0.4889322916666665,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,30.0,0.2916666666666667,0.5410156250000003,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,45.0,0.2916666666666667,0.5846354166666665,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,60.0,0.2916666666666667,0.6158854166666666,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,75.0,0.2916666666666667,0.6308593750000002,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,90.0,0.2916666666666667,0.6484375000000001,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,105.0,0.2916666666666667,0.6308593749999999,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,120.0,0.2916666666666667,0.6158854166666667,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,135.0,0.2916666666666667,0.5846354166666665,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,150.0,0.2916666666666667,0.5410156250000003,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,165.0,0.2916666666666667,0.4889322916666666,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,195.0,0.2916666666666667,0.48893229166666674,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,210.0,0.2916666666666667,0.5410156250000001,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,225.0,0.2916666666666667,0.5846354166666663,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,240.0,0.2916666666666667,0.6158854166666665,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,255.0,0.2916666666666667,0.6308593749999998,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,270.0,0.2916666666666667,0.6484374999999998,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,285.0,0.2916666666666667,0.6308593749999999,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,300.0,0.2916666666666667,0.6158854166666667,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,315.0,0.2916666666666667,0.5846354166666664,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,330.0,0.2916666666666667,0.5410156250000003,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.5,180.0,345.0,0.2916666666666667,0.48893229166666674,255.0,0.2916666666666667,0.45572916666666685,0.0
3.5,4.0,180.0,15.0,0.25,0.5585937499999999,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,30.0,0.25,0.6119791666666669,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,45.0,0.25,0.6490885416666667,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,60.0,0.25,0.6783854166666667,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,75.0,0.25,0.697916666666667,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,90.0,0.25,0.7109375000000002,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,105.0,0.25,0.6979166666666669,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,120.0,0.25,0.6783854166666667,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,135.0,0.25,0.6490885416666667,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,150.0,0.25,0.611979166666667,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,165.0,0.25,0.5585937499999999,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,195.0,0.25,0.5585937500000001,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,210.0,0.25,0.6119791666666665,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,225.0,0.25,0.6490885416666665,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,240.0,0.25,0.6783854166666669,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,255.0,0.25,0.6979166666666669,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,270.0,0.25,0.7109375000000001,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,285.0,0.25,0.6979166666666669,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,300.0,0.25,0.6783854166666669,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,315.0,0.25,0.6490885416666665,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,330.0,0.25,0.6119791666666666,270.0,0.25,0.5208333333333333,0.0
3.5,4.0,180.0,345.0,0.25,0.5585937500000001,270.0,0.25,0.5208333333333333,0.0
3.0,4.0,180.0,15.0,0.25,0.608723958333333,270.0,0.25,0.5520833333333334,0.0
3.0,4.0,180.0,30.0,0.2916666666666667,0.649088541666667,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,45.0,0.2916666666666667,0.6783854166666666,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,60.0,0.2916666666666667,0.7128906250000001,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,75.0,0.2916666666666667,0.7304687500000001,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,90.0,0.3333333333333333,0.7369791666666666,240.0,0.25,0.5520833333333334,0.08333333333333331
3.0,4.0,180.0,105.0,0.2916666666666667,0.7304687499999999,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,120.0,0.2916666666666667,0.712890625,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,135.0,0.2916666666666667,0.6783854166666666,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,150.0,0.2916666666666667,0.6490885416666669,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,165.0,0.25,0.6087239583333331,270.0,0.25,0.5520833333333334,0.0
3.0,4.0,180.0,195.0,0.25,0.6087239583333333,270.0,0.25,0.5520833333333334,0.0
3.0,4.0,180.0,210.0,0.2916666666666667,0.6490885416666667,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,225.0,0.2916666666666667,0.6783854166666669,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,240.0,0.2916666666666667,0.7128906250000002,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,255.0,0.2916666666666667,0.7304687500000003,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,270.0,0.3333333333333333,0.7369791666666667,240.0,0.25,0.5520833333333334,0.08333333333333331
3.0,4.0,180.0,285.0,0.2916666666666667,0.7304687500000001,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,300.0,0.2916666666666667,0.7128906250000002,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,315.0,0.2916666666666667,0.678385416666667,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,330.0,0.2916666666666667,0.6490885416666667,255.0,0.25,0.5520833333333334,0.041666666666666685
3.0,4.0,180.0,345.0,0.25,0.6087239583333334,270.0,0.25,0.5520833333333334,0.0
3.0,3.5,180.0,15.0,0.5833333333333334,0.6555989583333331,135.0,0.5416666666666666,0.6171874999999999,0.04166666666666674
3.0,3.5,180.0,30.0,0.625,0.6927083333333335,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,45.0,0.625,0.7220052083333334,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,60.0,0.625,0.7500000000000001,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,75.0,0.625,0.7649739583333334,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,90.0,0.625,0.7682291666666667,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,105.0,0.625,0.7649739583333334,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,120.0,0.625,0.75,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,135.0,0.625,0.7220052083333336,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,150.0,0.625,0.6927083333333334,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,165.0,0.5833333333333334,0.6555989583333333,135.0,0.5416666666666666,0.6171874999999999,0.04166666666666674
3.0,3.5,180.0,195.0,0.5833333333333334,0.6555989583333331,135.0,0.5416666666666666,0.6171874999999999,0.04166666666666674
3.0,3.5,180.0,210.0,0.625,0.692708333333333,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,225.0,0.625,0.7220052083333334,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,240.0,0.625,0.7499999999999999,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,255.0,0.625,0.7649739583333333,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
3.0,3.5,180.0,270.0,0.625,0.7682291666666666,135.0,0.5416666666666666,0.6171874999999999,0.08333333333333337
